ValidDate,Hour,lat_Approx,long_Approx,PM10_AQI,PM25_AQI
04/17/2024,00:00,34.066429,-118.226755,12.0,24.0
04/22/2024,00:00,34.066429,-118.226755,23.0,56.0
04/18/2024,00:00,34.066429,-118.226755,12.0,21.0
04/21/2024,00:00,34.066429,-118.226755,30.0,64.0
04/19/2024,00:00,34.066429,-118.226755,23.0,57.0
04/20/2024,00:00,34.066429,-118.226755,24.0,59.0
04/19/2024,01:00,34.066429,-118.226755,22.0,54.0
04/18/2024,01:00,34.066429,-118.226755,14.0,20.0
04/17/2024,01:00,34.066429,-118.226755,11.0,21.0
04/22/2024,01:00,34.066429,-118.226755,22.0,58.0
04/20/2024,01:00,34.066429,-118.226755,22.0,57.0
04/21/2024,01:00,34.066429,-118.226755,23.0,61.0
04/17/2024,02:00,34.066429,-118.226755,13.0,24.0
04/21/2024,02:00,34.066429,-118.226755,22.0,57.0
04/22/2024,02:00,34.066429,-118.226755,21.0,55.0
04/18/2024,02:00,34.066429,-118.226755,16.0,28.0
04/19/2024,02:00,34.066429,-118.226755,20.0,52.0
04/20/2024,02:00,34.066429,-118.226755,19.0,54.0
04/21/2024,03:00,34.066429,-118.226755,19.0,53.0
04/19/2024,03:00,34.066429,-118.226755,21.0,52.0
04/20/2024,03:00,34.066429,-118.226755,17.0,52.0
04/22/2024,03:00,34.066429,-118.226755,21.0,56.0
04/18/2024,03:00,34.066429,-118.226755,17.0,37.0
04/17/2024,03:00,34.066429,-118.226755,17.0,30.0
04/21/2024,04:00,34.066429,-118.226755,19.0,52.0
04/18/2024,04:00,34.066429,-118.226755,20.0,50.0
04/20/2024,04:00,34.066429,-118.226755,17.0,48.0
04/19/2024,04:00,34.066429,-118.226755,23.0,52.0
04/22/2024,04:00,34.066429,-118.226755,21.0,67.0
04/17/2024,04:00,34.066429,-118.226755,19.0,33.0
04/20/2024,05:00,34.066429,-118.226755,14.0,45.0
04/18/2024,05:00,34.066429,-118.226755,21.0,52.0
04/21/2024,05:00,34.066429,-118.226755,20.0,51.0
04/22/2024,05:00,34.066429,-118.226755,26.0,72.0
04/17/2024,05:00,34.066429,-118.226755,20.0,40.0
04/19/2024,05:00,34.066429,-118.226755,22.0,47.0
04/21/2024,06:00,34.066429,-118.226755,20.0,56.0
04/20/2024,06:00,34.066429,-118.226755,13.0,41.0
04/22/2024,06:00,34.066429,-118.226755,28.0,79.0
04/19/2024,06:00,34.066429,-118.226755,20.0,46.0
04/17/2024,06:00,34.066429,-118.226755,22.0,53.0
04/18/2024,06:00,34.066429,-118.226755,26.0,54.0
04/17/2024,07:00,34.066429,-118.226755,22.0,51.0
04/22/2024,07:00,34.066429,-118.226755,31.0,79.0
04/20/2024,07:00,34.066429,-118.226755,12.0,38.0
04/19/2024,07:00,34.066429,-118.226755,21.0,50.0
04/18/2024,07:00,34.066429,-118.226755,29.0,59.0
04/21/2024,07:00,34.066429,-118.226755,19.0,61.0
04/22/2024,08:00,34.066429,-118.226755,32.0,78.0
04/21/2024,08:00,34.066429,-118.226755,18.0,56.0
04/19/2024,08:00,34.066429,-118.226755,16.0,47.0
04/18/2024,08:00,34.066429,-118.226755,31.0,60.0
04/20/2024,08:00,34.066429,-118.226755,13.0,42.0
04/17/2024,08:00,34.066429,-118.226755,21.0,54.0
04/21/2024,09:00,34.066429,-118.226755,19.0,55.0
04/20/2024,09:00,34.066429,-118.226755,14.0,42.0
04/18/2024,09:00,34.066429,-118.226755,30.0,54.0
04/19/2024,09:00,34.066429,-118.226755,17.0,47.0
04/17/2024,09:00,34.066429,-118.226755,19.0,52.0
04/22/2024,09:00,34.066429,-118.226755,31.0,77.0
04/22/2024,10:00,34.066429,-118.226755,32.0,84.0
04/20/2024,10:00,34.066429,-118.226755,15.0,43.0
04/18/2024,10:00,34.066429,-118.226755,27.0,55.0
04/21/2024,10:00,34.066429,-118.226755,19.0,59.0
04/17/2024,10:00,34.066429,-118.226755,18.0,49.0
04/19/2024,10:00,34.066429,-118.226755,17.0,45.0
04/17/2024,11:00,34.066429,-118.226755,16.0,47.0
04/19/2024,11:00,34.066429,-118.226755,17.0,45.0
04/21/2024,11:00,34.066429,-118.226755,20.0,60.0
04/22/2024,11:00,34.066429,-118.226755,35.0,85.0
04/18/2024,11:00,34.066429,-118.226755,25.0,57.0
04/20/2024,11:00,34.066429,-118.226755,16.0,51.0
04/22/2024,12:00,34.066429,-118.226755,38.0,87.0
04/19/2024,12:00,34.066429,-118.226755,21.0,51.0
04/21/2024,12:00,34.066429,-118.226755,19.0,60.0
04/17/2024,12:00,34.066429,-118.226755,19.0,45.0
04/18/2024,12:00,34.066429,-118.226755,25.0,52.0
04/20/2024,12:00,34.066429,-118.226755,16.0,55.0
04/20/2024,13:00,34.066429,-118.226755,19.0,59.0
04/22/2024,13:00,34.066429,-118.226755,43.0,95.0
04/21/2024,13:00,34.066429,-118.226755,20.0,63.0
04/17/2024,13:00,34.066429,-118.226755,23.0,51.0
04/18/2024,13:00,34.066429,-118.226755,27.0,56.0
04/19/2024,13:00,34.066429,-118.226755,20.0,53.0
04/22/2024,14:00,34.066429,-118.226755,45.0,98.0
04/17/2024,14:00,34.066429,-118.226755,24.0,52.0
04/21/2024,14:00,34.066429,-118.226755,22.0,61.0
04/19/2024,14:00,34.066429,-118.226755,21.0,52.0
04/20/2024,14:00,34.066429,-118.226755,19.0,60.0
04/18/2024,14:00,34.066429,-118.226755,31.0,58.0
04/18/2024,15:00,34.066429,-118.226755,34.0,68.0
04/20/2024,15:00,34.066429,-118.226755,19.0,59.0
04/17/2024,15:00,34.066429,-118.226755,22.0,47.0
04/21/2024,15:00,34.066429,-118.226755,23.0,64.0
04/19/2024,15:00,34.066429,-118.226755,21.0,56.0
04/22/2024,15:00,34.066429,-118.226755,44.0,92.0
04/17/2024,16:00,34.066429,-118.226755,21.0,41.0
04/22/2024,16:00,34.066429,-118.226755,41.0,95.0
04/18/2024,16:00,34.066429,-118.226755,34.0,78.0
04/20/2024,16:00,34.066429,-118.226755,21.0,59.0
04/21/2024,16:00,34.066429,-118.226755,23.0,64.0
04/19/2024,16:00,34.066429,-118.226755,22.0,54.0
04/17/2024,17:00,34.066429,-118.226755,19.0,38.0
04/21/2024,17:00,34.066429,-118.226755,26.0,65.0
04/19/2024,17:00,34.066429,-118.226755,24.0,56.0
04/22/2024,17:00,34.066429,-118.226755,39.0,93.0
04/20/2024,17:00,34.066429,-118.226755,26.0,63.0
04/18/2024,17:00,34.066429,-118.226755,33.0,78.0
04/18/2024,18:00,34.066429,-118.226755,33.0,76.0
04/21/2024,18:00,34.066429,-118.226755,30.0,69.0
04/20/2024,18:00,34.066429,-118.226755,31.0,66.0
04/19/2024,18:00,34.066429,-118.226755,29.0,64.0
04/17/2024,18:00,34.066429,-118.226755,22.0,47.0
04/22/2024,18:00,34.066429,-118.226755,37.0,91.0
04/22/2024,19:00,34.066429,-118.226755,36.0,85.0
04/19/2024,19:00,34.066429,-118.226755,31.0,65.0
04/20/2024,19:00,34.066429,-118.226755,34.0,70.0
04/18/2024,19:00,34.066429,-118.226755,39.0,78.0
04/17/2024,19:00,34.066429,-118.226755,22.0,48.0
04/21/2024,19:00,34.066429,-118.226755,29.0,67.0
04/22/2024,20:00,34.066429,-118.226755,35.0,79.0
04/19/2024,20:00,34.066429,-118.226755,30.0,66.0
04/21/2024,20:00,34.066429,-118.226755,27.0,63.0
04/17/2024,20:00,34.066429,-118.226755,21.0,46.0
04/20/2024,20:00,34.066429,-118.226755,35.0,73.0
04/18/2024,20:00,34.066429,-118.226755,38.0,76.0
04/18/2024,21:00,34.066429,-118.226755,36.0,70.0
04/19/2024,21:00,34.066429,-118.226755,31.0,63.0
04/20/2024,21:00,34.066429,-118.226755,38.0,75.0
04/21/2024,21:00,34.066429,-118.226755,27.0,63.0
04/17/2024,21:00,34.066429,-118.226755,18.0,46.0
04/22/2024,21:00,34.066429,-118.226755,32.0,73.0
04/21/2024,22:00,34.066429,-118.226755,25.0,62.0
04/17/2024,22:00,34.066429,-118.226755,15.0,40.0
04/20/2024,22:00,34.066429,-118.226755,34.0,67.0
04/18/2024,22:00,34.066429,-118.226755,32.0,63.0
04/19/2024,22:00,34.066429,-118.226755,28.0,62.0
04/22/2024,22:00,34.066429,-118.226755,34.0,71.0
04/18/2024,23:00,34.066429,-118.226755,30.0,63.0
04/21/2024,23:00,34.066429,-118.226755,27.0,58.0
04/20/2024,23:00,34.066429,-118.226755,33.0,66.0
04/22/2024,23:00,34.066429,-118.226755,31.0,69.0
04/19/2024,23:00,34.066429,-118.226755,27.0,61.0
04/17/2024,23:00,34.066429,-118.226755,13.0,29.0
