"AQSID","SiteName","Status","EPARegion","Latitude","Longitude","Elevation","GMTOffset","CountryCode","StateName","ValidDate","ValidTime","DataSource","ReportingArea_PipeDelimited","OZONE_AQI","PM10_AQI","PM25_AQI","NO2_AQI","OZONE_Measured","PM10_Measured","PM25_Measured","NO2_Measured","NO2","NO2_Unit","CO","CO_Unit","PM25","PM25_Unit","SO2","SO2_Unit","OZONE","OZONE_Unit","PM10","PM10_Unit"
"000050126","Sainte-Anne-de-Bellevue","Inactive","CA","45.4333","-73.9333","39.3","-5","CA","CC","04/12/2024","16:00","Meteorological Service of Canada","","","","","","1","0","0","0","","","","","","","","","","","",""
"311090016","Davey","Active","R7","40.984969","-96.671425","384.0","-6","US","NE","04/12/2024","16:00","Lincoln-Lancaster County Health Department","Lincoln","37","","","","1","0","0","0","","","","","","","","","45.0","PPB","",""
"450310003","Pee Dee","Active","R4","34.285599","-79.744698","38.7","-5","US","SC","04/12/2024","16:00","South Carolina DHEC","Florence and Darlington","31","","","","1","0","0","0","","","","","","","","","32.0","PPB","",""
"483550026","Corpus Christi Tuloso C21","Active","R6","27.8333","-97.5558","0.0","-6","US","TX","04/12/2024","16:00","Texas Commission on Environmental Quality","Corpus Christi","37","","","","1","0","0","0","","","","","","","","","56.0","PPB","",""
"270953051","Mille Lacs","Active","R5","46.2056","-93.7589","0.0","-6","US","MN","04/12/2024","16:00","Minnesota Pollution Control Agency","East Central Minnesota","37","","","","1","0","0","0","","","","","","","","","41.0","PPB","",""
"060376012","Santa Clarita","Active","R9","34.3833","-118.5283","116.8","-8","US","CA","04/12/2024","16:00","South Coast AQMD","San Fernando-Santa Clarita Valleys|Santa Clarita Vly|San Gabriel Mts","23","","","14","1","0","1","1","15.9","PPB","0.4","PPM","","","","","27.0","PPB","",""
"028111510","JPN Site 028111510","Active","","34.672973","134.97779","0.0","9","","N/A","04/12/2024","16:00","Japan Ministry of Environment","","","","","","0","0","0","0","","","","","","","","","","","",""
"042202030","JPN Site 042202030","Active","","33.209149","129.719961","0.0","9","","N/A","04/12/2024","16:00","Japan Ministry of Environment","","","","","","0","0","0","0","","","","","","","","","","","",""
"270213410","Leech Lake Nation: Cass Lake","Active","R5","47.38443","-94.60166","0.0","-6","US","MN","04/12/2024","16:00","Minnesota Pollution Control Agency","Central Minnesota","","","7","","0","0","1","0","","","","","1.7","UG/M3","","","","","",""
"013110530","JPN Site 013110530","Active","","35.623509","139.678467","0.0","9","","N/A","04/12/2024","16:00","Japan Ministry of Environment","","","","","","0","0","0","0","","","","","","","","","","","",""
"013220010","JPN Site 013220010","Active","","35.750436","139.424594","0.0","9","","N/A","04/12/2024","16:00","Japan Ministry of Environment","","","","","","0","0","0","0","","","","","","","","","","","",""
"013221010","JPN Site 013221010","Active","","35.78099","139.521806","0.0","9","","N/A","04/12/2024","16:00","Japan Ministry of Environment","","","","","","0","0","0","0","","","","","","","","","","","",""
"014213010","JPN Site 014213010","Active","","35.487409","139.459325","0.0","9","","N/A","04/12/2024","16:00","Japan Ministry of Environment","","","","","","0","0","0","0","","","","","","","","","","","",""
"015205060","JPN Site 015205060","Active","","37.370525","138.575978","0.0","9","","N/A","04/12/2024","16:00","Japan Ministry of Environment","","","","","","0","0","0","0","","","","","","","","","","","",""
