"ReportingAreaName","ReportingAreaState","ReportingAreaID","ReportingAreaLat","ReportingAreaLong","SiteID","SiteName","SiteAgencyName","SiteLat","SiteLong"
"Aberdeen","SD","sd009",45.468,-98.494,"840460130004","Aberdeen","South Dakota Department of Agriculture and Natural Resources",45.468596,-98.494061
"Aberdeen","WA","wa008",46.9725,-123.8317,"530272002","Aberdeen-Division St","Olympic Region Clean Air Agency",46.9772,-123.8317
"Abidjan","  ","ds048",5.3351,-3.976,"384CI1010001","Abidjan","U.S. Department of State Ivory Coast - Abidjan",5.36,-4.0083
"Abu Dhabi","  ","ds027",24.4243,54.4339,"AD1010001","Abu Dhabi","U.S. Department of State UAE - Abu Dhabi",24.42431,54.433874
"Abuja","  ","ds062",9.0407,7.4752,"566NI1010001","Abuja","U.S. Department of State Nigeria - Abuja",9.041648,7.477374
"Accra","  ","ds055",5.579,-0.171,"288GH1010001","Accra","U.S. Department of State Ghana - Accra",5.580642,-0.170724
"Addis Ababa Central","  ","ds010",9.0585,38.7616,"AA1010001","Addis Ababa Central","U.S. Department of State Ethiopia - Addis Ababa",9.058498,38.761641
"Addis Ababa School","  ","ds011",8.9965,38.7254,"AA1010002","Addis Ababa Jacros","U.S. Department of State Ethiopia - Addis Ababa",9.011444,38.820909
"Adirondacks Region","NY","ny012",44.271,-74.2693,"360319991","Huntington Wildlife","New York Dept. of Environmental Conservation",43.97,-74.22
"Adirondacks Region","NY","ny012",44.271,-74.2693,"360410005","Piseco Lake","New York Dept. of Environmental Conservation",43.4556,-74.515
"Adirondacks Region","NY","ny012",44.271,-74.2693,"360310003","Whiteface Mtn","New York Dept. of Environmental Conservation",44.39308,-73.8589
"Aguascalientes","MX","mx005",21.88,-102.29,"484800010002","NTE","Government of the State of Aguascalientes",21.919917,-102.276083
"Aguascalientes","MX","mx005",21.88,-102.29,"484800010003","PTE","Government of the State of Aguascalientes",21.87286,-102.32069
"Aguascalientes","MX","mx005",21.88,-102.29,"484800010001","SUR","Government of the State of Aguascalientes",21.84525,-102.291222
"Aiken-Augusta - SC and GA","SC","sc003",33.37,-81.97,"132450091","Augusta","South Carolina DHEC",33.4333,-82.0219
"Aiken-Augusta - SC and GA","SC","sc003",33.37,-81.97,"130730001","Evans - Riverside Park","South Carolina DHEC",33.5819,-82.1314
"Aiken-Augusta - SC and GA","SC","sc003",33.37,-81.97,"450030003","Jackson","South Carolina DHEC",33.342201,-81.788597
"Aiken-Augusta - SC and GA","SC","sc003",33.37,-81.97,"450370001","Trenton","South Carolina DHEC",33.7397,-81.8536
"Ajo","AZ","az029",32.382,-112.8575,"040190001","Ajo","Arizona Department of Environmental Quality",32.382034,-112.857452
"Alamo Lake State Park","AZ","az027",34.2439,-113.5586,"040128000","Alamo Lake","Arizona Department of Environmental Quality",34.243889,-113.558611
"Alba","MO","mo004",37.2385,-94.4247,"290970004","Alba","Quapaw Nation",37.2385,-94.42468
"Albany","GA","ga009",31.5776,-84.0998,"130950007","Albany","Georgia Department of Natural Resources",31.5767,-84.1002
"Albany","OR","or010",44.6157,-123.0915,"410430009","Albany - Calapooia School","Oregon Dept. of Environmental Quality",44.61569,-123.091457
"Albuquerque","NM","nm001",35.0833,-106.6511,"350610008","2LL Los Lunas","Albuquerque Environmental Health Department",34.8147,-106.7397
