Lake County,IL,04/16/24 11:00,04/16/24 22:00,40,O3-Surrogate
Omaha,NE,04/16/24 09:00,04/16/24 22:00,36,PM2.5-Surrogate
Champaign,IL,04/17/24 02:00,04/16/24 22:00,37,O3-Surrogate
Laramie,WY,04/17/24 00:00,04/16/24 21:00,9,PM2.5-Surrogate
Visalia,CA,04/16/24 18:00,04/16/24 20:00,36,O3-Surrogate
Lincoln County,NC,04/16/24 07:00,04/16/24 23:00,48,PM2.5-Surrogate
High Elevations of Acadia National Park,ME,04/16/24 04:00,04/16/24 23:00,38,O3-Surrogate
Eloy,AZ,04/16/24 12:00,04/16/24 21:00,39,PM10-Surrogate
City of North Miami,FL,04/17/24 01:00,04/16/24 23:00,13,PM10-Surrogate
Idaho City,ID,04/17/24 01:00,04/16/24 21:00,14,PM2.5-Surrogate
Bishop,CA,04/16/24 18:00,04/16/24 20:00,5,PM10-Surrogate
Central New York Region,NY,04/16/24 09:00,04/16/24 23:00,37,O3-Surrogate
Shenandoah National Park,VA,04/16/24 10:00,04/16/24 23:00,45,O3-Surrogate
Central Orange,CA,04/16/24 19:00,04/16/24 20:00,35,PM2.5-Surrogate
Lubbock,TX,04/16/24 07:00,04/16/24 22:00,8,PM2.5-Surrogate
Shenyang,  ,04/17/24 00:00,04/17/24 12:00,130,PM2.5-Surrogate
Waterbury,CT,04/16/24 18:00,04/16/24 23:00,12,PM2.5-Surrogate
Houston-Galveston-Brazoria,TX,04/16/24 10:00,04/16/24 22:00,36,O3-Surrogate
Rutgers University,NJ,04/17/24 00:00,04/16/24 23:00,13,PM2.5-Surrogate
Vermillion,SD,04/16/24 03:00,04/16/24 22:00,20,PM2.5-Surrogate
Springdale (Springdale-Fayetteville-Bentonville),AR,04/16/24 09:00,04/16/24 22:00,39,O3-Surrogate
Outagamie and Brown Counties,WI,04/16/24 09:00,04/16/24 22:00,11,PM2.5-Surrogate
Worcester,MA,04/16/24 04:00,04/16/24 23:00,15,PM2.5-Surrogate
Napa,CA,04/16/24 22:00,04/16/24 20:00,31,O3-Surrogate
Lima,OH,04/16/24 16:00,04/16/24 23:00,10,PM2.5-Surrogate
Antelope Vly,CA,04/17/24 02:00,04/16/24 20:00,12,PM10-Surrogate
Santa Clarita Vly,CA,04/17/24 00:00,04/16/24 20:00,28,PM2.5-Surrogate
Lehigh Valley,PA,04/16/24 21:00,04/16/24 23:00,45,O3-Surrogate
W San Bernardino M,CA,04/16/24 19:00,04/16/24 20:00,58,O3-Surrogate
Bellingham,WA,04/16/24 13:00,04/16/24 20:00,38,O3-Surrogate
C San Bernardino,CA,04/16/24 11:00,04/16/24 20:00,51,PM2.5-Surrogate
Scranton and Wilkes-Barre,PA,04/16/24 03:00,04/16/24 23:00,31,O3-Surrogate
Rutland,VT,04/16/24 19:00,04/16/24 23:00,12,PM2.5-Surrogate
Chattanooga,TN,04/16/24 07:00,04/16/24 23:00,38,PM10-Surrogate
Theodore Roosevelt National Park,ND,04/16/24 14:00,04/16/24 21:00,23,PM2.5-Surrogate
Mono Lake,CA,04/16/24 13:00,04/16/24 20:00,8,PM2.5-Surrogate
Sloughhouse,CA,04/17/24 01:00,04/16/24 20:00,26,O3-Surrogate
Columbus-Phenix City - GA and AL,GA,04/16/24 23:00,04/16/24 23:00,41,PM2.5-Surrogate
Phoenix,AZ,04/16/24 06:00,04/16/24 21:00,64,PM10-Surrogate
Lassen Volcanic National Park,CA,04/16/24 03:00,04/16/24 20:00,30,O3-Surrogate
Mesquite,NV,04/16/24 17:00,04/16/24 20:00,9,PM10-Surrogate
W San Gabriel Vly,CA,04/16/24 08:00,04/16/24 20:00,39,PM2.5-Surrogate
Dakar,  ,04/16/24 10:00,04/17/24 04:00,153,PM2.5-Surrogate
Hartford,CT,04/16/24 14:00,04/16/24 23:00,13,PM2.5-Surrogate
San Juan County,NM,04/16/24 13:00,04/16/24 21:00,0,PM10-Surrogate
Tupelo,MS,04/16/24 13:00,04/16/24 22:00,30,O3-Surrogate
Tooele,UT,04/16/24 22:00,04/16/24 21:00,16,PM2.5-Surrogate
Mid-Coast,ME,04/16/24 06:00,04/16/24 23:00,41,O3-Surrogate
Hobbs,NM,04/16/24 17:00,04/16/24 21:00,19,PM2.5-Surrogate
Fort Collins,CO,04/16/24 04:00,04/16/24 21:00,5,PM2.5-Surrogate
Beaumont-Port Arthur,TX,04/16/24 12:00,04/16/24 22:00,41,PM2.5-Surrogate
Mountain View,HI,04/16/24 12:00,04/16/24 18:00,3,PM2.5-Surrogate
Colville,WA,04/16/24 22:00,04/16/24 20:00,0,PM2.5-Surrogate
W San Fernando Vly,CA,04/16/24 06:00,04/16/24 20:00,21,PM2.5-Surrogate
St. Joseph,MO,04/16/24 16:00,04/16/24 22:00,44,O3-Surrogate
Boston,MA,04/16/24 09:00,04/16/24 23:00,17,O3-Surrogate
Algiers,  ,04/16/24 04:00,04/17/24 05:00,77,PM2.5-Surrogate
Northern Delaware,DE,04/16/24 12:00,04/16/24 23:00,23,PM2.5-Surrogate
Jacksonville,FL,04/16/24 20:00,04/16/24 23:00,53,PM2.5-Surrogate
Kona,HI,04/16/24 09:00,04/16/24 18:00,3,PM2.5-Surrogate
Columbia and Suwannee Counties,FL,04/16/24 05:00,04/16/24 23:00,48,PM2.5-Surrogate
Rutland,VT,04/16/24 23:00,04/16/24 23:00,8,PM2.5-Surrogate
The Dalles,OR,04/16/24 07:00,04/16/24 20:00,11,PM2.5-Surrogate
Phoenix,AZ,04/16/24 04:00,04/16/24 21:00,74,O3-Surrogate
Juneau,AK,04/16/24 13:00,04/16/24 19:00,29,PM2.5-Surrogate
Sioux Falls,SD,04/17/24 01:00,04/16/24 22:00,6,PM10-Surrogate
Guangzhou,  ,04/16/24 23:00,04/17/24 12:00,70,PM2.5-Surrogate
Paso Robles,CA,04/16/24 15:00,04/16/24 20:00,6,PM10-Surrogate
Paradise,CA,04/16/24 05:00,04/16/24 20:00,24,O3-Surrogate
La Pine,OR,04/16/24 07:00,04/16/24 20:00,33,PM2.5-Surrogate
Nipomo,CA,04/16/24 13:00,04/16/24 20:00,6,PM10-Surrogate
Central New York Region,NY,04/16/24 13:00,04/16/24 23:00,20,PM2.5-Surrogate
Northeast Urban,NJ,04/16/24 23:00,04/16/24 23:00,34,O3-Surrogate
Denver-Boulder,CO,04/16/24 23:00,04/16/24 21:00,12,PM2.5-Surrogate
Wilmington,DE,04/16/24 08:00,04/16/24 23:00,40,O3-Surrogate
Omaha,NE,04/16/24 06:00,04/16/24 22:00,34,PM2.5-Surrogate
Hagerstown Region,MD,04/16/24 09:00,04/16/24 23:00,20,PM2.5-Surrogate
New Jersey(Southern),NJ,04/16/24 03:00,04/16/24 23:00,30,O3-Surrogate
Brookings,SD,04/16/24 16:00,04/16/24 22:00,31,O3-Surrogate
Jersey City,NJ,04/16/24 09:00,04/16/24 23:00,21,O3-Surrogate
Lincoln,CA,04/16/24 12:00,04/16/24 20:00,19,PM2.5-Surrogate
NW San Bernardino,CA,04/16/24 23:00,04/16/24 20:00,97,O3-Surrogate
Rexburg (seasonal),ID,04/16/24 19:00,04/16/24 21:00,29,PM2.5-Surrogate
Keene,NH,04/16/24 09:00,04/16/24 23:00,6,O3-Surrogate
Davenport,IA,04/17/24 02:00,04/16/24 22:00,46,O3-Surrogate
NW Oklahoma,OK,04/16/24 23:00,04/16/24 22:00,53,PM2.5-Surrogate
Mojave,CA,04/16/24 03:00,04/16/24 20:00,5,PM10-Surrogate
Hanford,CA,04/16/24 21:00,04/16/24 20:00,40,PM2.5-Surrogate
Erie,PA,04/16/24 07:00,04/16/24 23:00,28,PM2.5-Surrogate
Houghton Lake,MI,04/16/24 15:00,04/16/24 23:00,38,O3-Surrogate
Portland,OR,04/16/24 17:00,04/16/24 20:00,13,PM2.5-Surrogate
Chaco Culture National Historical Park,NM,04/16/24 04:00,04/16/24 21:00,54,O3-Surrogate
Medicine Bow National Forest,WY,04/17/24 00:00,04/16/24 21:00,44,O3-Surrogate
Springdale (Springdale-Fayetteville-Bentonville),AR,04/16/24 06:00,04/16/24 22:00,34,O3-Surrogate
Millbrook,NY,04/16/24 18:00,04/16/24 23:00,46,O3-Surrogate
Parkersburg,WV,04/16/24 18:00,04/16/24 23:00,67,O3-Surrogate
Southern Ute Indian Reservation,CO,04/16/24 12:00,04/16/24 21:00,6,PM10-Surrogate
Tallahassee,FL,04/17/24 01:00,04/16/24 23:00,44,PM2.5-Surrogate
Santa Maria,CA,04/16/24 06:00,04/16/24 20:00,26,O3-Surrogate
Anacortes,WA,04/16/24 06:00,04/16/24 20:00,35,O3-Surrogate
Durham County,NC,04/16/24 06:00,04/16/24 23:00,20,PM10-Surrogate
Baghdad,  ,04/16/24 03:00,04/17/24 07:00,127,PM2.5-Surrogate
Central New York Region,NY,04/16/24 06:00,04/16/24 23:00,39,O3-Surrogate
Thousand Oaks,CA,04/16/24 21:00,04/16/24 20:00,51,O3-Surrogate
Terre Haute,IN,04/16/24 09:00,04/16/24 23:00,39,O3-Surrogate
Fremont,CA,04/16/24 05:00,04/16/24 20:00,0,PM2.5-Surrogate
Farrar,MO,04/16/24 04:00,04/16/24 22:00,33,O3-Surrogate
Shady Cove,OR,04/16/24 11:00,04/16/24 20:00,15,PM2.5-Surrogate
San Juan County,NM,04/17/24 02:00,04/16/24 21:00,1,PM10-Surrogate
Orlando,FL,04/17/24 01:00,04/16/24 23:00,36,O3-Surrogate
Northern Kentucky,KY,04/16/24 09:00,04/16/24 23:00,37,O3-Surrogate
Greenfield,MA,04/16/24 04:00,04/16/24 23:00,18,O3-Surrogate
Red Bluff,CA,04/16/24 13:00,04/16/24 20:00,7,PM10-Surrogate
Nipomo CDF,CA,04/16/24 09:00,04/16/24 20:00,21,PM2.5-Surrogate
Phoenix,AZ,04/16/24 09:00,04/16/24 21:00,47,PM10-Surrogate
Guangzhou,  ,04/17/24 02:00,04/17/24 12:00,72,PM2.5-Surrogate
Palm Springs-Coachella Valley,CA,04/16/24 07:00,04/16/24 20:00,42,O3-Surrogate
Anchorage,AK,04/16/24 18:00,04/16/24 19:00,37,PM10-Surrogate
Columbia,MO,04/17/24 01:00,04/16/24 22:00,38,O3-Surrogate
NW San Bernardino,CA,04/16/24 15:00,04/16/24 20:00,14,PM10-Surrogate
Columbus,IN,04/16/24 14:00,04/16/24 23:00,33,PM2.5-Surrogate
Antelope Vly,CA,04/16/24 13:00,04/16/24 20:00,6,PM10-Surrogate
Person County,NC,04/16/24 06:00,04/16/24 23:00,41,O3-Surrogate
Yakima,WA,04/16/24 17:00,04/16/24 20:00,0,PM2.5-Surrogate
Pahala,HI,04/16/24 15:00,04/16/24 18:00,28,PM2.5-Surrogate
Calaveras County,CA,04/16/24 08:00,04/16/24 20:00,6,PM10-Surrogate
Brawley,CA,04/16/24 07:00,04/16/24 20:00,36,PM10-Surrogate
Houghton Lake,MI,04/16/24 22:00,04/16/24 23:00,0,PM2.5-Surrogate
Boston,MA,04/16/24 06:00,04/16/24 23:00,19,O3-Surrogate
Alba,MO,04/16/24 20:00,04/16/24 22:00,46,O3-Surrogate
Sioux Falls,SD,04/16/24 04:00,04/16/24 22:00,20,PM2.5-Surrogate
Pomona Walnut Vly,CA,04/16/24 13:00,04/16/24 20:00,6,O3-Surrogate
Boise,ID,04/16/24 13:00,04/16/24 21:00,18,PM2.5-Surrogate
E San Gabriel Vly,CA,04/17/24 01:00,04/16/24 20:00,18,PM2.5-Surrogate
Bismarck,ND,04/16/24 03:00,04/16/24 22:00,34,O3-Surrogate
Southern Ute Indian Reservation,CO,04/16/24 03:00,04/16/24 21:00,44,O3-Surrogate
