AQSID,SiteName,Status,EPARegion,Latitude,Longitude,Elevation,GMTOffset,CountryCode,StateName,ValidDate,ValidTime,DataSource,ReportingArea_PipeDelimited,OZONE_AQI,PM10_AQI,PM25_AQI,NO2_AQI,OZONE_Measured,PM10_Measured,PM25_Measured,NO2_Measured,NO2,NO2_Unit,CO,CO_Unit,PM25,PM25_Unit,SO2,SO2_Unit,OZONE,OZONE_Unit,PM10,PM10_Unit
211110051,WATSON,Active,R4,38.0608,-85.8961,0.0,-5.0,US,KY,04/16/2024,12:00,Louisville Metro Air Pollution Control District ,Louisville,7.0,27.0,46.0,,1,1,1,0,,,,,12.3,UG/M3,1.0,PPB,3.0,PPB,35.0,UG/M3
516500008,HAMPTON,Active,R3,37.10373,-76.38702,4.0,-5.0,US,VA,04/16/2024,12:00,Virginia Dept. of Environmental Quality,Hampton Roads,37.0,14.0,28.0,2.0,1,1,1,1,2.1,PPB,0.1,PPM,6.0,UG/M3,0.4,PPB,39.0,PPB,14.0,UG/M3
TPCD0027T,Samut Sakhon Wittayalai School,Active,,13.550263,100.264768,0.0,7.0,,,04/16/2024,12:00,Thailand Pollution Control Department,,,31.0,56.0,,1,1,1,1,,,,,14.0,UG/M3,,,,,35.0,UG/M3
060090001,San Andreas,Active,R9,38.20185,-120.680277,300.1,-8.0,US,CA,04/16/2024,12:00,California Air Resources Board,Calaveras County,8.0,6.0,10.0,,1,1,1,0,,,,,4.0,UG/M3,,,,,7.0,UG/M3
400710604,Ponca City,Active,R6,36.697189,-97.081278,0.0,-6.0,US,OK,04/16/2024,12:00,Oklahoma Department of Environmental Quality,,,28.0,60.0,,0,1,1,0,,,,,15.8,UG/M3,0.0,PPB,,,31.0,UG/M3
320030561,Sunrise Acres,Active,R9,36.163962,-115.11393,564.3,-8.0,US,NV,04/16/2024,12:00,Clark County Department of Environment and Sustainability ,Las Vegas,,18.0,12.0,25.0,0,1,1,1,26.1,PPB,0.4,PPM,3.9,UG/M3,,,,,26.0,UG/M3
060195001,Clovis - N. Villa Ave,Active,R9,36.819199,-119.7164,0.0,-8.0,US,CA,04/16/2024,12:00,San Joaquin Valley Unified APCD,Fresno,21.0,8.0,33.0,5.0,1,1,1,1,5.3,PPB,0.2,PPM,8.7,UG/M3,,,22.0,PPB,11.0,UG/M3
320030075,Joe Neal,Active,R9,36.270592,-115.238282,709.7,-8.0,US,NV,04/16/2024,12:00,Clark County Department of Environment and Sustainability ,Las Vegas,42.0,7.0,4.0,2.0,1,1,1,1,2.6,PPB,,,1.0,UG/M3,,,44.0,PPB,8.0,UG/M3
121275002,Blind Services; 1185-A Dunn Ave,Active,R4,29.2069,-81.0531,0.0,-5.0,US,FL,04/16/2024,12:00,Florida Dept. of Environmental Protection,Daytona Beach,20.0,14.0,22.0,,1,1,1,0,,,,,5.9,UG/M3,,,18.0,PPB,17.0,UG/M3
401430174,Glenpool,Active,R6,35.9525,-96.0033,0.0,-6.0,US,OK,04/16/2024,12:00,Oklahoma Department of Environmental Quality,Tulsa,30.0,17.0,44.0,,1,1,1,0,,,,,10.6,UG/M3,,,31.0,PPB,20.0,UG/M3
481410057,Socorro Hueco C49,Active,R6,31.66752,-106.28774,1116.9,-7.0,US,TX,04/16/2024,12:00,Texas Commission on Environmental Quality,El Paso,32.0,24.0,30.0,,1,1,1,0,,,,,8.4,UG/M3,,,20.0,PPB,32.0,UG/M3
