AQSID,SiteName,Status,EPARegion,Latitude,Longitude,Elevation,GMTOffset,CountryCode,StateName,ValidDate,ValidTime,DataSource,ReportingArea_PipeDelimited,OZONE_AQI,PM10_AQI,PM25_AQI,NO2_AQI,OZONE_Measured,PM10_Measured,PM25_Measured,NO2_Measured,NO2,NO2_Unit,CO,CO_Unit,PM25,PM25_Unit,SO2,SO2_Unit,OZONE,OZONE_Unit,PM10,PM10_Unit
060371103,Los Angeles - N. Main Street,Active,R9,34.066429,-118.226755,30.5,-8.0,US,CA,04/16/2024,12:00,South Coast AQMD,Central LA CO|W San Gabriel Vly,5.0,10.0,40.0,25.0,1,1,1,1,26.1,PPB,0.6,PPM,8.8,UG/M3,0.0,PPB,0.0,PPB,8.0,UG/M3
060371103,Los Angeles - N. Main Street,Active,R9,34.066429,-118.226755,30.5,-8.0,US,CA,04/16/2024,11:00,South Coast AQMD,Central LA CO|W San Gabriel Vly,5.0,13.0,44.0,22.0,1,1,1,1,23.9,PPB,0.5,PPM,10.9,UG/M3,0.0,PPB,0.0,PPB,15.0,UG/M3
060371103,Los Angeles - N. Main Street,Active,R9,34.066429,-118.226755,30.5,-8.0,US,CA,04/16/2024,20:00,South Coast AQMD,Central LA CO|W San Gabriel Vly,45.0,15.0,44.0,12.0,1,1,1,1,13.1,PPB,0.4,PPM,11.0,UG/M3,0.0,PPB,62.0,PPB,15.0,UG/M3
060371103,Los Angeles - N. Main Street,Active,R9,34.066429,-118.226755,30.5,-8.0,US,CA,04/16/2024,08:00,South Coast AQMD,Central LA CO|W San Gabriel Vly,6.0,10.0,40.0,21.0,1,1,1,1,22.0,PPB,0.5,PPM,9.7,UG/M3,0.0,PPB,2.0,PPB,10.0,UG/M3
060371103,Los Angeles - N. Main Street,Active,R9,34.066429,-118.226755,30.5,-8.0,US,CA,04/16/2024,05:00,South Coast AQMD,Central LA CO|W San Gabriel Vly,18.0,11.0,29.0,21.0,1,1,1,1,22.0,PPB,0.5,PPM,8.5,UG/M3,0.0,PPB,13.0,PPB,17.0,UG/M3
060371103,Los Angeles - N. Main Street,Active,R9,34.066429,-118.226755,30.5,-8.0,US,CA,04/16/2024,13:00,South Coast AQMD,Central LA CO|W San Gabriel Vly,6.0,13.0,52.0,24.0,1,1,1,1,25.2,PPB,0.9,PPM,15.8,UG/M3,0.1,PPB,0.0,PPB,17.0,UG/M3
060371103,Los Angeles - N. Main Street,Active,R9,34.066429,-118.226755,30.5,-8.0,US,CA,04/16/2024,19:00,South Coast AQMD,Central LA CO|W San Gabriel Vly,37.0,15.0,42.0,14.0,1,1,1,1,15.0,PPB,0.4,PPM,8.6,UG/M3,0.0,PPB,52.0,PPB,13.0,UG/M3
060371103,Los Angeles - N. Main Street,Active,R9,34.066429,-118.226755,30.5,-8.0,US,CA,04/16/2024,00:00,South Coast AQMD,Central LA CO|W San Gabriel Vly,46.0,11.0,29.0,5.0,1,1,1,1,5.9,PPB,0.2,PPM,5.2,UG/M3,0.0,PPB,53.0,PPB,11.0,UG/M3
060371103,Los Angeles - N. Main Street,Active,R9,34.066429,-118.226755,30.5,-8.0,US,CA,04/16/2024,21:00,South Coast AQMD,Central LA CO|W San Gabriel Vly,47.0,20.0,44.0,10.0,1,1,1,1,11.5,PPB,0.3,PPM,10.8,UG/M3,0.0,PPB,59.0,PPB,29.0,UG/M3
060371103,Los Angeles - N. Main Street,Active,R9,34.066429,-118.226755,30.5,-8.0,US,CA,04/16/2024,07:00,South Coast AQMD,Central LA CO|W San Gabriel Vly,10.0,12.0,40.0,19.0,1,1,1,1,20.7,PPB,0.5,PPM,10.9,UG/M3,0.0,PPB,9.0,PPB,12.0,UG/M3
060371103,Los Angeles - N. Main Street,Active,R9,34.066429,-118.226755,30.5,-8.0,US,CA,04/16/2024,01:00,South Coast AQMD,Central LA CO|W San Gabriel Vly,44.0,9.0,26.0,4.0,1,1,1,1,4.9,PPB,0.2,PPM,5.7,UG/M3,0.0,PPB,50.0,PPB,8.0,UG/M3
