lat_Approx,long_Approx,Hour,PM10_AQI,PM25_AQI
34.066429,-118.226755,00:00,11.0,29.0
34.066429,-118.226755,01:00,9.0,26.0
34.066429,-118.226755,02:00,7.0,24.0
34.066429,-118.226755,03:00,6.0,23.0
34.066429,-118.226755,04:00,7.0,22.0
34.066429,-118.226755,05:00,11.0,29.0
34.066429,-118.226755,06:00,13.0,34.0
34.066429,-118.226755,07:00,12.0,40.0
34.066429,-118.226755,08:00,10.0,40.0
34.066429,-118.226755,09:00,9.0,39.0
34.066429,-118.226755,10:00,11.0,43.0
34.066429,-118.226755,11:00,13.0,44.0
34.066429,-118.226755,12:00,10.0,40.0
34.066429,-118.226755,13:00,13.0,52.0
34.066429,-118.226755,14:00,18.0,48.0
34.066429,-118.226755,15:00,16.0,42.0
34.066429,-118.226755,16:00,17.0,43.0
34.066429,-118.226755,17:00,19.0,47.0
34.066429,-118.226755,18:00,19.0,47.0
34.066429,-118.226755,19:00,15.0,42.0
34.066429,-118.226755,20:00,15.0,44.0
34.066429,-118.226755,21:00,20.0,44.0
34.066429,-118.226755,22:00,19.0,45.0
34.066429,-118.226755,23:00,15.0,35.0
