ValidDate,Hour,lat_Approx,long_Approx,PM10_AQI,PM25_AQI
04/14/2024,23:00,34.066429,-118.226755,11.0,24.0
04/14/2024,00:00,34.066429,-118.226755,7.0,20.0
04/14/2024,01:00,34.066429,-118.226755,4.0,15.0
04/14/2024,02:00,34.066429,-118.226755,3.0,15.0
04/14/2024,03:00,34.066429,-118.226755,6.0,21.0
04/14/2024,04:00,34.066429,-118.226755,6.0,26.0
04/14/2024,05:00,34.066429,-118.226755,6.0,27.0
04/14/2024,06:00,34.066429,-118.226755,7.0,28.0
04/14/2024,07:00,34.066429,-118.226755,9.0,29.0
04/14/2024,08:00,34.066429,-118.226755,9.0,32.0
04/14/2024,09:00,34.066429,-118.226755,9.0,41.0
04/14/2024,10:00,34.066429,-118.226755,9.0,48.0
04/14/2024,11:00,34.066429,-118.226755,9.0,48.0
04/14/2024,12:00,34.066429,-118.226755,9.0,51.0
04/14/2024,13:00,34.066429,-118.226755,9.0,44.0
04/14/2024,14:00,34.066429,-118.226755,7.0,38.0
04/14/2024,15:00,34.066429,-118.226755,7.0,32.0
04/14/2024,16:00,34.066429,-118.226755,6.0,28.0
04/14/2024,17:00,34.066429,-118.226755,6.0,19.0
04/14/2024,18:00,34.066429,-118.226755,6.0,14.0
04/14/2024,19:00,34.066429,-118.226755,5.0,15.0
04/14/2024,20:00,34.066429,-118.226755,5.0,18.0
04/14/2024,21:00,34.066429,-118.226755,6.0,16.0
04/14/2024,22:00,34.066429,-118.226755,6.0,15.0
