Mid-Coast|ME|US|Yes|Air Quality Alert|Air Quality Alert|44.3770|-68.2609|-5|Yes|EST|EDT|me001|No|Maine Dept. of Environmental Protection
Upper Hudson Valley Region|NY|US|Yes|Air Quality Health Advisory|Air Quality Health Advisory|42.5884|-73.5646|-5|Yes|EST|EDT|ny001|No|New York Dept. of Environmental Conservation
South Ridges|NC|US|Yes|Air Quality Action Day|Air Quality Action Day|35.5847|-83.0623|-5|Yes|EST|EDT|nc001|No|North Carolina DEQ - Division of Air Quality
Buncombe County|NC|US|Yes|Air Quality Action Day|Air Quality Action Day|35.5950|-82.5510|-5|Yes|EST|EDT|nc002|No|North Carolina DEQ - Division of Air Quality
Atlanta|GA|US|Yes|Smog Alert|Smog Alert|33.6500|-84.4300|-5|Yes|EST|EDT|ga001|Yes|Georgia Department of Natural Resources
Austin|TX|US|Yes|Ozone Action Day||30.2670|-97.7340|-6|Yes|CST|CDT|tx001|No|Texas Commission on Environmental Quality
Bakersfield|CA|US|Yes|Healthy Air Living|Residential Wood Smoke Reduction Program|35.3577|-119.0046|-8|Yes|PST|PDT|ca006|No|San Joaquin Valley Unified APCD
Metro Baltimore|MD|US|Yes|Air Quality Alert|Air Quality Alert|39.1876|-76.5904|-5|Yes|EST|EDT|md001|Yes|Maryland Department of the Environment
Baton Rouge Area|LA|US|Yes|||30.4490|-91.1260|-6|Yes|CST|CDT|la001|No|Louisiana Department of Environmental Quality
Beaumont-Port Arthur|TX|US|Yes|Ozone Action Day|Ozone Action Day|30.0830|-94.1000|-6|Yes|CST|CDT|tx002|No|Texas Commission on Environmental Quality
Birmingham|AL|US|Yes|Air Quality Alert|Air Quality Alert|33.5600|-86.7500|-6|Yes|CST|CDT|al001|No|Alabama Department of Environmental Management
Boston|MA|US|Yes|Air Quality Action Day|Air Quality Action Day|42.3510|-71.0510|-5|Yes|EST|EDT|ma001|Yes|Massachusetts Dept. of Environmental Protection
Bremerton-Silverdale-Bainbridge Island|WA|US|Yes||Burn Ban|47.6400|-122.6470|-8|Yes|PST|PDT|wa001|No|Puget Sound Clean Air Agency
Bridgeport|CT|US|Yes|||41.1840|-73.1900|-5|Yes|EST|EDT|ct001|No|Connecticut Dept. of Energy and Environmental Protection
Western New York Region|NY|US|Yes|Air Quality Health Advisory|Air Quality Health Advisory|42.6595|-79.0628|-5|Yes|EST|EDT|ny002|No|New York Dept. of Environmental Conservation
Burlington|VT|US|Yes|Vermont Summer Action Day|Vermont Winter Action Day|44.4670|-73.2010|-5|Yes|EST|EDT|vt001|No|Vermont Air Quality & Climate Division
Riverline|NJ|US|Yes|Ozone Action Day|Ozone Action Day|39.9090|-75.0760|-5|Yes|EST|EDT|nj003|No|New Jersey Dept. of Environmental Protection
Mecklenburg County|NC|US|Yes|Air Quality Action Day|Air Quality Action Day|35.2270|-80.8430|-5|Yes|EST|EDT|nc003|Yes|North Carolina DEQ - Division of Air Quality
Chicago|IL|US|Yes|Air Pollution Action Day|Air Pollution Action Day|41.9640|-87.6590|-6|Yes|CST|CDT|il001|Yes|Illinois EPA
Cincinnati|OH|US|Yes|Air Quality Alert|Air Quality Alert|39.1040|-84.5230|-5|Yes|EST|EDT|oh001|Yes|Hamilton County Environmental Services
Cleveland-Akron-Lorain|OH|US|Yes|Air Quality Advisory|Air Quality Advisory|41.0814|-81.5190|-5|Yes|EST|EDT|oh002|Yes|Northeast Ohio Areawide Coordinating Agency
Columbia|SC|US|Yes|Ozone Action Day|Ozone Action Day|34.0390|-80.8860|-5|Yes|EST|EDT|sc001|No|South Carolina DHEC
Columbus|OH|US|Yes|Air Quality Alert Day|Air Quality Alert Day|39.9890|-82.9870|-5|Yes|EST|EDT|oh003|Yes|MORPC
Concord|CA|US|Yes|Spare the Air Day|Spare the Air Day|37.9700|-122.0300|-8|Yes|PST|PDT|ca017|No|San Francisco Bay Area AQMD
Corpus Christi|TX|US|Yes|Ozone Action Day||27.8000|-97.3960|-6|Yes|CST|CDT|tx003|No|Texas Commission on Environmental Quality
Dallas-Fort Worth|TX|US|Yes|Ozone Action Day||32.7670|-96.7830|-6|Yes|CST|CDT|tx004|Yes|Texas Commission on Environmental Quality
Denver-Boulder|CO|US|Yes|||39.9003|-105.0420|-7|Yes|MST|MDT|co001|Yes|Colorado Department of Public Health and Environment
Des Moines|IA|US|Yes|||41.5350|-93.6600|-6|Yes|CST|CDT|ia001|No|Polk Co. Air Quality Division
La Grande|OR|US|No||Burn Call|45.3239|-118.0939|-8|Yes|PST|PDT|or004|No|City of La Grande
