Latitude,Longitude,SiteName,Time,NowCast Concentration,NowCast AQI
35.687010,-105.895580,Unit386,Thu 04/18/2024 12:00 AM EDT,0.7,3
37.471550,-108.516290,Unit0216,Thu 04/18/2024 12:00 AM EDT,1.2,5
39.714300,-105.123960,Unit67,Thu 04/18/2024 12:00 AM EDT,2.1,9
39.714400,-105.123950,Unit 66,Thu 04/18/2024 12:00 AM EDT,2.5,10
39.714380,-105.123900,MMFS10016,Thu 04/18/2024 12:00 AM EDT,1.9,8
43.997840,-121.405260,Unit69,Thu 04/18/2024 12:00 AM EDT,0.5,2
39.714340,-105.124000,Unit0265,Thu 04/18/2024 12:00 AM EDT,1.9,8
41.233950,-122.135840,MMCA81034,Thu 04/18/2024 12:00 AM EDT,4.8,20
41.251850,-122.128300,MMCA81036,Thu 04/18/2024 12:00 AM EDT,2.3,10
40.742060,-105.508590,USFS 2264,Thu 04/18/2024 12:00 AM EDT,0.0,0
34.445730,-119.758930,MMCA82032,Thu 04/18/2024 12:00 AM EDT,9.6,40
41.783080,-110.537880,Kemmerer Mobile,Thu 04/18/2024 12:00 AM EDT,2.3,10
46.583980,-112.042080,MMFS11307,Thu 04/18/2024 12:00 AM EDT,0.0,0
44.021920,-121.260100,MMFS10659,Thu 04/18/2024 12:00 AM EDT,0.7,3
37.305390,-107.488220,MMFS10661,Thu 04/18/2024 12:00 AM EDT,1.0,4
37.227130,-107.600960,MMFS10662,Thu 04/18/2024 12:00 AM EDT,1.0,4
35.768870,-118.430080,Kernville,Thu 04/18/2024 12:00 AM EDT,10.4,43
45.821660,-120.822950,Goldendale,Thu 04/18/2024 12:00 AM EDT,0.3,1
20.883410,-156.685770,Lahaina Pump 4,Thu 04/18/2024 12:00 AM EDT,6.3,26
20.886710,-156.659980,Lahainaluna HS,Thu 04/18/2024 12:00 AM EDT,1.5,6
20.883740,-156.668150,Lahaina BWS,Thu 04/18/2024 12:00 AM EDT,0.0,0
20.900470,-156.681470,Aa St,Thu 04/18/2024 12:00 AM EDT,1.9,8
20.904470,-156.683840,Lahaina Civic Center,Thu 04/18/2024 12:00 AM EDT,2.8,12
20.868970,-156.670660,Lahaina Boys and Girls Club,Thu 04/18/2024 12:00 AM EDT,4.5,19
47.567240,-117.696400,Medical Lake Mobile,Thu 04/18/2024 12:00 AM EDT,0.7,3
