ValidDate,Hour,lat_Approx,long_Approx,PM10_AQI,PM25_AQI
04/18/2024,00:00,34.066429,-118.226755,12.0,21.0
04/18/2024,01:00,34.066429,-118.226755,14.0,20.0
04/18/2024,02:00,34.066429,-118.226755,16.0,28.0
04/18/2024,03:00,34.066429,-118.226755,17.0,37.0
04/18/2024,04:00,34.066429,-118.226755,20.0,50.0
04/18/2024,05:00,34.066429,-118.226755,21.0,52.0
04/18/2024,06:00,34.066429,-118.226755,26.0,54.0
04/18/2024,07:00,34.066429,-118.226755,29.0,59.0
04/18/2024,08:00,34.066429,-118.226755,31.0,60.0
04/18/2024,09:00,34.066429,-118.226755,30.0,54.0
04/18/2024,10:00,34.066429,-118.226755,27.0,55.0
04/18/2024,11:00,34.066429,-118.226755,25.0,57.0
04/18/2024,12:00,34.066429,-118.226755,25.0,52.0
04/18/2024,13:00,34.066429,-118.226755,27.0,56.0
04/18/2024,14:00,34.066429,-118.226755,31.0,58.0
04/18/2024,15:00,34.066429,-118.226755,34.0,68.0
04/18/2024,16:00,34.066429,-118.226755,34.0,78.0
04/18/2024,17:00,34.066429,-118.226755,33.0,78.0
04/18/2024,18:00,34.066429,-118.226755,33.0,76.0
04/18/2024,19:00,34.066429,-118.226755,39.0,78.0
04/18/2024,20:00,34.066429,-118.226755,38.0,76.0
04/18/2024,21:00,34.066429,-118.226755,36.0,70.0
04/18/2024,22:00,34.066429,-118.226755,32.0,63.0
04/18/2024,23:00,34.066429,-118.226755,30.0,63.0
