latitude,longitude,Date
34.021526,-118.288752,2024-04-16 15:55
34.021566,-118.28889,2024-04-16 15:55
34.02147,-118.288567,2024-04-16 15:55
34.021553,-118.288315,2024-04-16 15:56
34.021452,-118.288464,2024-04-16 15:56
34.021578,-118.288401,2024-04-16 15:56
34.021503,-118.288488,2024-04-16 15:56
34.021594,-118.288463,2024-04-16 15:56
34.02156,-118.288531,2024-04-16 15:57
34.021578,-118.288662,2024-04-16 15:57
34.021656,-118.288791,2024-04-16 15:57
34.0217,-118.288915,2024-04-16 15:57
34.021684,-118.289025,2024-04-16 15:57
34.021624,-118.28911,2024-04-16 15:57
34.021548,-118.289003,2024-04-16 15:57
34.021516,-118.288871,2024-04-16 15:57
34.021528,-118.288764,2024-04-16 15:57
34.021528,-118.288794,2024-04-16 15:58
34.021575,-118.288888,2024-04-16 15:58
34.021599,-118.288761,2024-04-16 15:58
34.021564,-118.288623,2024-04-16 15:59
34.021673,-118.288653,2024-04-16 16:01
34.021594,-118.288708,2024-04-16 16:01
34.021721,-118.288666,2024-04-16 16:01
34.021641,-118.288768,2024-04-16 16:01
34.021546,-118.288658,2024-04-16 16:01
34.021499,-118.288777,2024-04-16 16:02
34.021527,-118.288903,2024-04-16 16:02
34.021582,-118.289018,2024-04-16 16:02
34.021607,-118.289134,2024-04-16 16:02
34.021689,-118.289089,2024-04-16 16:02
34.021551,-118.289181,2024-04-16 16:02
34.021646,-118.289197,2024-04-16 16:02
34.021683,-118.289318,2024-04-16 16:02
34.021723,-118.289206,2024-04-16 16:02
34.021726,-118.289089,2024-04-16 16:02
34.021564,-118.289206,2024-04-16 16:02
34.021582,-118.289015,2024-04-16 16:02
34.021506,-118.28914,2024-04-16 16:02
34.021637,-118.289116,2024-04-16 16:03
34.021667,-118.289231,2024-04-16 16:03
34.021746,-118.289174,2024-04-16 16:03
34.021663,-118.289226,2024-04-16 16:03
34.021579,-118.289315,2024-04-16 16:03
34.021706,-118.289122,2024-04-16 16:03
34.021645,-118.289232,2024-04-16 16:03
34.021725,-118.289125,2024-04-16 16:03
34.021693,-118.289253,2024-04-16 16:03
34.021699,-118.28912,2024-04-16 16:03
34.021586,-118.289151,2024-04-16 16:03
34.021613,-118.289011,2024-04-16 16:03
34.021642,-118.288111,2024-04-16 16:03
34.021381,-118.288077,2024-04-16 16:03
34.021443,-118.288166,2024-04-16 16:04
34.021488,-118.28826,2024-04-16 16:04
34.021504,-118.288391,2024-04-16 16:04
34.021557,-118.288527,2024-04-16 16:04
34.021677,-118.288689,2024-04-16 16:04
34.021727,-118.288803,2024-04-16 16:04
34.021757,-118.288943,2024-04-16 16:04
34.021752,-118.288934,2024-04-16 16:04
34.021876,-118.288784,2024-04-16 16:04
34.021947,-118.288909,2024-04-16 16:04
34.022041,-118.289054,2024-04-16 16:04
34.021929,-118.288998,2024-04-16 16:04
34.021826,-118.289055,2024-04-16 16:04
34.021791,-118.288954,2024-04-16 16:04
34.021712,-118.288829,2024-04-16 16:05
34.021579,-118.288739,2024-04-16 16:05
34.021488,-118.288955,2024-04-16 16:06
34.021587,-118.288925,2024-04-16 16:10
34.021641,-118.28902,2024-04-16 16:10
34.021675,-118.289131,2024-04-16 16:10
34.021747,-118.288989,2024-04-16 16:10
34.02159,-118.288948,2024-04-16 16:12
34.021847,-118.288836,2024-04-16 16:14
34.022345,-118.288699,2024-04-16 16:25
